Board Index,Board Size,Average Elapsed Time (seconds),Average Percent Complete
0,8 x 8,0.22,100.0
1,8 x 8,0.03,78.12
2,8 x 8,0.12,69.79
3,8 x 8,0.01,100.0
4,8 x 8,0.18,57.29
5,14 x 14,285.3,93.54
6,9 x 9,0.13,80.25
7,9 x 9,0.27,80.25
8,9 x 9,10.46,100.0
9,9 x 9,0.47,83.54
10,9 x 9,0.15,67.08
11,10 x 10,0.09,86.0
12,10 x 10,0.29,88.0
13,10 x 10,0.27,82.67
14,10 x 10,0.22,96.0
15,10 x 10,0.54,82.0
16,11 x 11,1.1,92.29
17,11 x 11,35.1,100.0
18,8 x 8,0.07,81.25
19,11 x 11,1.58,89.53
20,11 x 11,10.18,70.8
21,12 x 12,0.85,77.31
22,12 x 12,4.66,88.43
23,12 x 12,0.86,59.95
24,12 x 12,4.92,85.65
25,17 x 17,716.29,53.4
26,12 x 12,2.65,70.83
27,8 x 8,0.34,100.0
28,8 x 8,0.05,88.54
29,8 x 8,0.09,88.54
30,8 x 8,0.04,89.58
31,12 x 12,0.37,96.3
32,9 x 9,0.26,100.0
33,9 x 9,0.04,80.25
34,9 x 9,2.13,100.0
35,9 x 9,0.09,72.02
36,8 x 8,0.08,51.04
37,10 x 10,0.17,86.67
38,10 x 10,0.1,65.33
39,10 x 10,0.16,100.0
40,10 x 10,0.51,67.33
41,12 x 12,0.58,71.3
42,11 x 11,0.71,74.66
43,11 x 11,0.12,85.67
44,11 x 11,1.31,100.0
45,11 x 11,0.34,75.76
46,11 x 11,0.17,66.39
47,12 x 12,4.21,75.46
48,12 x 12,1.21,89.35
49,12 x 12,2.38,78.24
50,12 x 12,0.12,37.96
51,10 x 10,0.1,87.33
52,9 x 9,2.1,99.18
53,10 x 10,0.46,96.0
54,11 x 11,0.01,100.0
55,12 x 12,1.4,82.87
56,8 x 8,0.4,77.08
57,9 x 9,0.2,96.71
58,10 x 10,0.52,86.67
59,11 x 11,0.24,100.0
60,12 x 12,36.71,98.15
61,8 x 8,0.06,93.75
62,9 x 9,0.04,100.0
63,10 x 10,0.38,86.67
64,11 x 11,0.64,82.92
65,12 x 12,5.05,94.44
66,8 x 8,0.23,100.0
67,9 x 9,0.03,68.72
68,10 x 10,0.38,100.0
69,11 x 11,0.65,83.47
